15.417	16	176.5	193	2715	0.61	0.665	1
10.11	15.417	142	176.5	2671	0.342	0.532	1
9.805	10.11	137	142	2650	0.27	0.49	1
9.377	9.805	127	137	2710	0.71	0.7	1
8.752	9.377	112.2	127	2720	0.51	0.63	1
8.502	8.752	110	112.2	2710	0.71	0.7	1
7.735	8.502	98.9	110	2720	0.51	0.63	1
7.61	7.735	93.5	98.9	2710	0.71	0.7	1
7.31	7.61	83.5	93.5	2713	0.65	0.679	1
6.235	7.31	65	83.5	2709.5	0.474	0.609	1
5.01	6.235	55	65	2692	0.414	0.574	1
5.01	5.01	43	55	0	0	0	2
4.75	5.01	35.3	43	2669.469	0.337	0.529	2
4.15	4.75	31.1	35.3	2685	0.39	0.56	2
3.15	4.15	23.8	31.1	2685	0.39	0.56	2
2	3.15	12.7	23.8	2678	0.366	0.546	2
0	2	5.4	12.7	2679	0.372	0.55	2
